review,rating
"Van mijn werk een voucher gekregen om eten te kunnen bestellen op een corona proof feestdag. Er gaat iets mis met de betaling. Voucher niet meer te gebruiken. Twee keer gebeld met de klantenservice, mail gestuurd, maar voucher pas de volgende dag weer beschikbaar, geen alternatieve voucher mogelijk omdat het extern gekocht is. Dit blijkbaar om fraude te voorkomen. Ik vind het echt schandalig dat dit ten koste gaat van de eerlijke klant en dat er op geen enkele manier tegemoetgekomen wordt. Bizar.",1
"Vandaag heerlijke pizza' s gegeten afkomstig van ""Papa E Citu"", dunne krokante bodem, verse groenten en heerlijke vleeswaren en kaas maakte het een festijn voor de smaakpapillen! Jessica, Breda",5
"Voor het eerst een online bestelling gedaan bij Burgertime Zutphen.Online betaald. Tijdstip voor afhalen ingevoerd. Eenmaal voor de deur. Toko gesloten. Deur op slot. Niemand aanwezig! Meerdere malen gebeld, wordt niet beantwoord.Dikke vette ballentent.Nooit meer daar bestellen! 🤬",1
"Bestelling geannuleerd door Thuisbezorgd.nl, restaurant kon volgens hun niet leveren. Had vooruit betaald. Nu 2 weken later nog steeds m’n geld niet terug en ze reageren niet op mails. Ik ruik een scam dat ze rechtsbijstandsverzekeringen oplichten. Voor kleine bedragen wordt de klant schadeloos gesteld, dat betekend dat de verzekeraar direct het bedrag aan hun klant betaald en dan eventueel probeert de kosten bij thuisbezorgd te verhalen (wat ze waarschijnlijk niet doen, kost verzekering meer geld om aan zulke kleine zaken tijd te besteden) en zo heeft thuisbezorgd extra inkomsten.",1
"Nog nooit zulke slechte service meegemaakt. Bizar , bestel om half 2 wat te eten. Zet duidelijk in de notities dat het om de rechterdeur gaat, om zo verwarring te voorkomen. Het bleek al snel heel duidelijk te zijn dat de bezorger een fout had gemaakt. Vervolgens niks binne gekregen en 1.5 uur met 4 verschillende collegas gebeld, na veel gezeur en na boos te worden werd er eindelijk ""actie"" ondernomen. Zelfs toen duurde het nog een eeuw, het restaurant vond zelf ook dat dit belachelijk was en hielp me het proces te versnellen. Na 3 uur wachten kreeg ik eindelijk me eten. Duidelijk dat de klantenservice niet adequaat en proffesioneel wist te handelen. Voortaan maar weer ubereats/deliveroo gebruiken.",1
"Bestel al liever niet over apps die restaurants 30pct vragen,maar om dan na bijna 1.5u een pizza te krijgen die gewoon koud is.Oven maar weer aan..opwarmen... bijna net zo romantisch als een diepvriespizza..",1
"Nare ervaring gehad met een bezorgrestaurant. Bezorger was professioneel, online support was begripvol. Goede zaak!",5
"Besteld eten wordt elders bezorgd... en weg is je eten. Daarna is deze club niet te bereiken en is het jouw probleem.Na veel gedoe is, mede dankzij inzet van het restaurant, het eten 2uur later toch bezorgd..",1
"Komen de afspraken niet na! We spreken 12:45 af omdat we les hebben, komen ze pas om 13:15 aan! Heel slecht!",1
Tfc tasty fried chicken.Hier kan je super goed bestellen en de bestellingen komen op tijd.Heel Erg tevreden!,5
